expected_class,drug_category_patterns,notes
diuretic_finerenone_type,Finerenone;Kerendia,Non-steroidal mineralocorticoid receptor antagonist for diabetic kidney disease
diuretic_xipamide_type,Xipamide;Aquaphor,Sulfonamide diuretic with thiazide-like properties
diuretic_clopamide_type,Clopamide;Brinaldix,Thiazide-like sulfonamide diuretic
diuretic_quinethazone_type,Quinethazone;Hydromox,Quinazoline derivative thiazide-like diuretic
diuretic_benzthiazide_type,Benzthiazide;Exna,Benzothiadiazide class thiazide diuretic
diuretic_hydroflumethiazide_type,Hydroflumethiazide;Saluron,Thiazide diuretic used for hypertension and edema
diuretic_piretanide_type,Piretanide;Arelix,Potent loop diuretic of the sulfamoylbenzoic acid class
antiplatelet_ticlopidine_type,Ticlopidine;Ticlid,First-generation thienopyridine P2Y12 inhibitor antiplatelet agent
antiplatelet_dipyridamole_type,Dipyridamole;Persantine,Phosphodiesterase inhibitor and adenosine reuptake inhibitor
antiplatelet_triflusal_type,Triflusal;Disgren,Antiplatelet structurally related to aspirin but with different COX selectivity
antiplatelet_ditazole_type,Ditazole;Ageroplas,Non-steroidal anti-inflammatory drug used for its antiplatelet properties
antiplatelet_carbasalate_calcium_type,Carbasalate calcium;Iscover,Calcium salt of acetylsalicylic acid used as an antiplatelet
ace_inhibitor_ccb_diuretic_triple_fixed_dose,Perindopril/Amlodipine/Indapamide;Enalapril/Lercanidipine/Hydrochlorothiazide,Fixed-dose combinations of three antihypertensive classes including ACE inhibitor
arb_ccb_diuretic_triple_fixed_dose,Valsartan/Amlodipine/HCTZ;Olmesartan/Amlodipine/HCTZ;Telmisartan/Amlodipine/HCTZ,Fixed-dose triple combination therapies containing an ARB
beta_blocker_ccb_fixed_dose_combinations,Atenolol/Nifedipine;Bisoprolol/Amlodipine,Combination therapy pairing a beta blocker with a dihydropyridine CCB
statin_aspirin_fixed_dose_combinations,Atorvastatin/Aspirin;Simvastatin/Aspirin,Secondary cardiovascular prevention combination of a statin and low-dose aspirin
arb_statin_fixed_dose_regimens,Telmisartan/Atorvastatin;Valsartan/Simvastatin,Combination of an angiotensin receptor blocker and a HMG-CoA reductase inhibitor
ace_inhibitor_statin_fixed_dose_regimens,Enalapril/Atorvastatin;Perindopril/Atorvastatin;Amlodipine/Atorvastatin/Perindopril,Combinations involving an ACE inhibitor and a statin for risk reduction
ccb_diuretic_fixed_dose_regimens,Amlodipine/Hydrochlorothiazide;Lercanidipine/Hydrochlorothiazide,Fixed combination of a calcium channel blocker and a thiazide diuretic
mra_thiazide_diuretic_combinations,Spironolactone/Hydrochlorothiazide;Eplerenone/Hydrochlorothiazide,Potassium-sparing combinations of an MRA and a thiazide
statin_omega3_fatty_acid_combinations,Atorvastatin/Omega-3;Simvastatin/Omega-3;Pravastatin/Omega-3,Lipid-lowering combinations for mixed dyslipidemia
p2y12_inhibitor_aspirin_fixed_combinations,Clopidogrel/Aspirin;Prasugrel/Aspirin,Dual antiplatelet therapy in a single tablet format
dipyridamole_aspirin_fixed_combinations,Dipyridamole/Aspirin;Aggrenox,Fixed dose combination for stroke and TIA prevention
vasopressin_v2_receptor_antagonists,Tolvaptan;Conivaptan;Lixivaptan;Mozavaptan,Vaptans used for the treatment of hyponatremia and heart failure edema
statin_pcsk9_inhibitor_regimens,Atorvastatin/Evolocumab;Rosuvastatin/Alirocumab,Intensive lipid lowering using both oral statins and injectable PCSK9 monoclonal antibodies
loop_diuretic_thiazide_like_combinations,Furosemide/Metolazone;Bumetanide/Metolazone,Combination for sequential nephron blockade in resistant edema
statin_niacin_fixed_dose_combinations,Lovastatin/Niacin;Simvastatin/Niacin;Niaspan/Statin,Combinations of nicotinic acid and statins for HDL and LDL management
penicillins_nafcillin_type,"Penicillin, Penicillinase-Resistant;Nafcillin",Parenteral penicillinase-resistant penicillin for staphylococcal infections
penicillins_oxacillin_type,"Penicillin, Penicillinase-Resistant;Oxacillin",Parenteral penicillinase-resistant penicillin often used for MRSA-negative Staph
penicillins_dicloxacillin_type,"Penicillin, Penicillinase-Resistant;Dicloxacillin",Oral penicillinase-resistant penicillin for skin infections
penicillins_azlocillin_type,"Penicillin, Extended Spectrum;Azlocillin",Extended-spectrum ureidopenicillin with antipseudomonal activity
penicillins_mezlocillin_type,"Penicillin, Extended Spectrum;Mezlocillin",Broad-spectrum ureidopenicillin for serious gram-negative infections
penicillins_ticarcillin_clavulanate,"Penicillin, Extended Spectrum/Beta-lactamase Inhibitor;Ticarcillin/Clavulanate",Antipseudomonal penicillin combined with beta-lactamase inhibitor
penicillins_sultamicillin_oral,"Penicillin, Aminopenicillin/Beta-lactamase Inhibitor;Sultamicillin",Double ester prodrug of ampicillin and sulbactam for oral use
cephalosporins_cefalexin_oral,"Cephalosporin, First Generation;Cefalexin;Cephalexin",Common oral first-generation cephalosporin for mild infections
cephalosporins_cefadroxil_oral,"Cephalosporin, First Generation;Cefadroxil",Oral first-generation cephalosporin with longer half-life than cefalexin
cephalosporins_cefpodoxime_oral,"Cephalosporin, Third Generation;Cefpodoxime",Oral third-generation cephalosporin for respiratory tract infections
cephalosporins_ceftiam_type,"Cephalosporin, Second Generation;Ceftiam",Second-generation cephalosporin with improved gram-negative coverage
cephalosporins_cefoperazone_sulbactam,"Cephalosporin, Third Generation/Beta-lactamase Inhibitor;Cefoperazone/Sulbactam",Combination of antipseudomonal cephalosporin and sulbactam
cephalosporins_ceftolozane_tazobactam,"Cephalosporin, Fifth Generation/Beta-lactamase Inhibitor;Ceftolozane/Tazobactam",Novel combination for multi-drug resistant Pseudomonas
cephalosporins_cefazidime_avibactam,"Cephalosporin, Third Generation/Beta-lactamase Inhibitor;Ceftazidime/Avibactam",Ceftazidime combined with non-beta-lactam beta-lactamase inhibitor
cephalosporins_ceftaroline_fosamil,"Cephalosporin, Fifth Generation;Ceftaroline",Advanced cephalosporin with activity against MRSA
cephalosporins_cefbupirazone_type,"Cephalosporin, Second Generation;Cefbupirazone",Second-generation cephalosporin used in specific surgical prophylaxis
cephalosporins_cefmetszole_type,Cephamycin;Cefmetazole,Cephamycin antibiotic with anaerobic activity
cephalosporins_cefoxitin_parenteral,Cephamycin;Cefoxitin,Parenteral cephamycin useful for intra-abdominal infections
macrolides_josamycin_type,Macrolide;Josamycin,Natural 16-membered macrolide antibiotic
macrolides_midecamycin_type,Macrolide;Midecamycin,Macrolide used primarily for respiratory and skin infections
macrolides_dirithromycin_type,Macrolide;Dirithromycin,Prodrug macrolide for respiratory tract infections
macrolides_oleandomycin_type,Macrolide;Oleandomycin,Early generation macrolide derived from Streptomyces
macrolides_telithromycin_ketolide,Ketolide;Telithromycin,First ketolide for treatment of community-acquired pneumonia
fluoroquinolones_lomefloxacin_type,Fluoroquinolone;Lomefloxacin,Difluorinated quinolone for UTI prophylaxis and treatment
fluoroquinolones_pefloxacin_type,Fluoroquinolone;Pefloxacin,Fluoroquinolone with high tissue penetration
fluoroquinolones_sparfloxacin_type,Fluoroquinolone;Sparfloxacin,Respiratory fluoroquinolone with increased activity against gram-positives
fluoroquinolones_fleroxacin_type,Fluoroquinolone;Fleroxacin,Long-acting trifluorinated quinolone
fluoroquinolones_sitafloxacin_type,Fluoroquinolone;Sitafloxacin,Advanced quinolone for resistant respiratory and urinary infections
fluoroquinolones_tosufloxacin_type,Fluoroquinolone;Tosufloxacin,Quinolone used for a wide variety of systemic infections
fluoroquinolones_nadifloxacin_topical,"Fluoroquinolone, Topical;Nadifloxacin",Topical fluoroquinolone used for acne vulgaris
antifungals_anidulafungin_type,"Antifungal, Echinocandin;Anidulafungin",Parenteral echinocandin for candidemia and invasive candidiasis
antifungals_ketoconazole_systemic,"Antifungal, Imidazole;Ketoconazole",Oral systemic imidazole (limited use due to hepatotoxicity)
antifungals_fluconazole_systemic,"Antifungal, Triazole;Fluconazole",Systemic triazole for yeast infections and prophylaxis
antifungals_clotrimazole_topical,"Antifungal, Topical Imidazole;Clotrimazole",Common topical imidazole for dermatophytosis and candidiasis
antifungals_miconazole_topical,"Antifungal, Topical Imidazole;Miconazole",Topical imidazole for skin and mucosal fungal infections
antifungals_econazole_topical,"Antifungal, Topical Imidazole;Econazole",Topical antifungal for tinea pedis and tinea cruris
antifungals_sertaconazole_topical,"Antifungal, Topical Imidazole;Sertaconazole",Imidiazole antifungal used for topical treatment of athlete's foot
antifungals_amorolfine_nail_lacquer,"Antifungal, Topical;Amorolfine",Morpholine derivative used specifically for onychomycosis
antifungals_ciclopirox_topical,"Antifungal, Topical;Ciclopirox",Broad-spectrum topical antifungal with unique mechanism
antifungals_butenafine_topical,"Antifungal, Topical Allylamine;Butenafine",Benzylamine antifungal related to the allylamine class
antivirals_acyclovir_systemic,"Antiviral, Anti-herpetic;Acyclovir",Systemic nucleoside analog for HSV and VZV
antivirals_ganciclovir_parenteral,"Antiviral, Anti-CMV;Ganciclovir",Parenteral treatment for cytomegalovirus infections
antivirals_valganciclovir_oral,"Antiviral, Anti-CMV;Valganciclovir",Oral prodrug of ganciclovir for CMV treatment and prophylaxis
antivirals_cidofovir_parenteral,"Antiviral, Anti-CMV;Cidofovir",Nucleotide analog for CMV retinitis in AIDS patients
antivirals_zanamivir_inhalation,"Antiviral, Neuraminidase Inhibitor;Zanamivir",Inhaled neuraminidase inhibitor for influenza treatment
antivirals_peramivir_parenteral,"Antiviral, Neuraminidase Inhibitor;Peramivir",Parenteral neuraminidase inhibitor for acute influenza
antivirals_amantadine_influenza,"Antiviral, Adamantane;Amantadine",M2 ion channel inhibitor for influenza A (limited use)
antivirals_rimantadine_influenza,"Antiviral, Adamantane;Rimantadine",Derivative of amantadine for influenza A prophylaxis/treatment
antivirals_adefovir_dipivoxil_hbv,"Antiviral, Anti-HBV;Adefovir",Nucleotide analog for chronic hepatitis B
antivirals_telbivudine_hbv,"Antiviral, Anti-HBV;Telbivudine",L-nucleoside analog for chronic hepatitis B management
