icd_code,diagnosis_group,expected_diagnostics,conditional_diagnostics,unnecessary_diagnostics,max_diagnostic_count,clinical_pathway_source,notes
C44.3,skin_cancer_face,biopsy_lesion;histopathology;physical_exam_nodes,mri_face(perineural_invasion);ct_parotid(nodal_status);mohs_surgery_map(tissue_sparing),pet_scan_routine;bone_scan,5,dermatological_society_thailand,BCC/SCC common; cosmetic outcome important
C45.0,mesothelioma_pleura,ct_chest_contrast;thoracentesis_cytology;pleural_biopsy;cbc,vats_biopsy(gold_standard);pet_ct(staging);pulmonary_function_test(surgical_candidate),sputum_culture;bronchoscopy(unless_parenchymal_lesion),7,nci_thailand_guidelines,Asbestos exposure history; unilateral pleural thickening
C47.3,malignant_peripheral_nerve_sheath_tumor_arm,mri_limb_contrast;core_needle_biopsy;cbc,pet_ct(NF1_transformation_check);ct_chest(lung_metastasis);genetic_testing_NF1(association),xray_soft_tissue;bone_scan_routine,6,moph_thailand_orthopedics,Associated with Neurofibromatosis type 1; rapid growth in pre-existing nodule
C49.1,soft_tissue_sarcoma_upper_limb,mri_limb_contrast;core_needle_biopsy;ct_chest_staging;cbc,ultrasound_guided_biopsy;pet_ct(grading_dependent);cytogenetics(translocation_type),excision_without_imaging;lymph_node_biopsy_routine(sarcomas_rarely_spread_lymphatic),6,nci_thailand_guidelines,MRI defines compartments; biopsy tract must be resected
C49.2,soft_tissue_sarcoma_lower_limb,mri_lower_limb_contrast;core_needle_biopsy;ct_chest_staging;cbc,angiogram(if_near_femoral_vessels);pet_ct(high_grade);sentinel_node(only_epithelioid_clear_cell),bone_scan(unless_symptoms);brain_mri,6,nci_thailand_guidelines,Common in thigh; rule out hematoma or benign lipoma
C51.9,malignant_neoplasm_vulva,vulvar_biopsy;inguinal_node_palpation;cbc,ct_pelvis_inguinal_nodes(staging);fine_needle_aspiration_node(suspicious_groin);sentinel_lymph_node(early_stage),pap_smear_cervix_only;mammogram,5,thai_gynecologic_cancer_society,Squamous cell most common; evaluate groin nodes carefully
C52,malignant_neoplasm_vagina,vaginal_biopsy;pelvic_exam_under_anesthesia;ct_abdomen_pelvis;cbc,cystoscopy(bladder_invasion);proctoscopy(rectal_invasion);mri_pelvis(local_staging),endometrial_biopsy_routine;bone_scan,7,thai_gynecologic_cancer_society,Diagnosis of exclusion (must rule out cervix/vulva extension)
C54.3,malignant_neoplasm_fundus_uteri,endometrial_biopsy;transvaginal_ultrasound;cbc;ca_125,mri_pelvis(myometrial_invasion);ct_chest_abdomen(high_risk_histology);genetic_testing(lynch_syndrome),pap_smear_diagnosis(low_sensitivity);pet_scan_routine,6,nci_thailand_guidelines,Endometrial cancer; abnormal bleeding is hallmark
C57.0,malignant_neoplasm_fallopian_tube,pelvic_ultrasound;ca_125;ct_abdomen_pelvis;cbc,diagnostic_laparoscopy;genetic_testing_brca;thoracentesis(if_pleural_effusion),colonoscopy_routine;pap_smear,6,thai_gynecologic_cancer_society,Rare; treated similarly to ovarian cancer; BRCA association
C58,choriocarcinoma,beta_hcg_quantitative;pelvic_ultrasound_doppler;ct_chest_abdomen_pelvis;cbc,mri_brain(metastasis_screen_if_lung_mets);lumbar_puncture(if_brain_symptoms);renal_function(chemo_prep),biopsy_primary_tumor(hemorrhage_risk);ca_125,7,moph_thailand_cancer,Highly curable; follow hCG closely; avoid biopsy due to bleeding
C60.9,malignant_neoplasm_penis,penile_biopsy;inguinal_node_exam;ct_pelvis_inguinal;cbc,fine_needle_aspiration_node(palpable_nodes);mri_penis(stage_corpora_invasion);bone_scan(advanced),psa;cystoscopy_routine,6,nci_thailand_guidelines,Inguinal lymphadenectomy curative for node positive; poor hygiene risk
C62.1,malignant_neoplasm_descended_testis,scrotal_ultrasound;alpha_fetoprotein;beta_hcg;ldh;ct_abdomen_pelvis,radical_inguinal_orchiectomy(diagnostic_therapeutic);ct_chest(pulmonary_mets);brain_mri(choriocarcinoma),transscrotal_biopsy(contraindicated);pet_scan_routine_seminoma,7,nci_thailand_guidelines,Never biopsy through scrotum; serum markers critical
C63.0,malignant_neoplasm_epididymis,scrotal_ultrasound;surgical_exploration_biopsy;cbc;tumor_markers_germ_cell,ct_abdomen_pelvis(staging);chest_xray;urology_referral,antibiotics_prolonged(if_mass_persist);psa,6,moph_thailand_general,Very rare; distinguish from adenomatoid tumor (benign)
C65,malignant_neoplasm_renal_pelvis,ct_urogram;urine_cytology;cystoscopy;creatinine,ureteroscopy_biopsy(diagnosis);bone_scan(symptoms);chest_ct(metastasis),renal_biopsy_percutaneous(seeding_risk);psa,6,thai_urological_association,Urothelial carcinoma; watch out for bladder recurrence
C66,malignant_neoplasm_ureter,ct_urogram;urine_cytology;cystoscopy;creatinine,retrograde_pyelogram;ureteroscopy_biopsy;nephroureterectomy_pathology,prostate_biopsy;ultrasound_only,6,thai_urological_association,Hematuria workup; rule out synchronous bladder tumor
C67.2,malignant_neoplasm_bladder_lateral,cystoscopy_biopsy;ct_urogram;urine_cytology;cbc,mri_pelvis(muscle_invasion_staging);bone_scan(elevated_alk_phos);chest_ct(staging_invasive),psa(unless_prostate_suspected);pet_scan_routine_superficial,6,nci_thailand_guidelines,Muscle invasion dictates radical cystectomy vs TURBT
C69.2,retinoblastoma,fundoscopy_under_anesthesia;ocular_ultrasound;mri_orbits_brain;rb1_genetic_testing,lumbar_puncture(cns_extension);bone_marrow_aspiration(extraocular_spread);ct_orbits(calcification_check),biopsy_intraocular(contraindicated_seeding);pet_scan_routine,7,moph_thailand_pediatrics,Leukocoria (white reflex); check family history
C70.0,malignant_neoplasm_cerebral_meninges,mri_brain_contrast;neurosurgery_consult;histopathology_resection,ct_head(calcification/bone);angiogram(pre_op_embolization);somatostatin_receptor_pet(unusual_cases),lumbar_puncture(herniation_risk);eeg_routine,6,moph_thailand_neuro,"Meningioma usually benign/grade I, but C70 implies malignant/aggressive"
C71.6,malignant_neoplasm_cerebellum,mri_brain_contrast;biopsy_or_resection;cbc,mri_spine(drop_metastasis_medulloblastoma);lumbar_puncture_cytology(staging);molecular_profiling,ct_abdomen_routine;bone_scan,6,nci_thailand_guidelines,Pediatric: Medulloblastoma/Astrocytoma; Adult: Metastasis or Hemangioblastoma
C72.0,malignant_neoplasm_spinal_cord,mri_spine_whole_axis;neurosurgery_biopsy;neurological_exam,mri_brain(exclude_primary_cranial);somatosensory_evoked_potentials(intraop_monitoring);csf_cytology,myelogram(outdated);emg_routine,6,moph_thailand_neuro,Primary cord tumors rare (Ependymoma/Astrocytoma); distinct from vertebral mets
C74.0,adrenocortical_carcinoma,ct_adrenal_washout;hormonal_workup_cortisol_aldosterone_androgens;cbc,mri_abdomen(caval_thrombus);ct_chest(lung_mets);pet_ct(staging);dexamethasone_suppression_test,adrenal_biopsy(unless_metastasis_suspected_rule_out_acc_seeding);thyroid_scan,7,moph_thailand_endocrine,Large mass >4cm heterogeneous; often functional (Cushing/Virilization)
C74.1,malignant_pheochromocytoma,plasma_urine_metanephrines;ct_abdomen_pelvis;mibg_scan,mri_abdomen(T2_lightbulb_sign);genetic_testing(sdhb_von_hippel_lindau);alpha_blockade_prep,biopsy_adrenal(hypertensive_crisis_risk);beta_blocker_monotherapy,7,moph_thailand_endocrine,10% malignant rule; requires alpha blockade before surgery
A00.9,cholera_unspecified,stool_culture_TCBS;rectal_swab_culture;electrolytes;bun_creatinine,stool_hanging_drop(if_rapid_screening);blood_gas(if_severe_dehydration);blood_culture(if_sepsis_suspected),ct_abdomen;mri_pelvis;colonoscopy,7,moph_thailand_infectious,Reportable disease; transport media (Cary-Blair) essential if delay in plating
A01.2,paratyphoid_fever_b,blood_culture;stool_culture;cbc,widal_test(if_culture_negative_after_week2);urine_culture(if_chronic_carrier_suspected);liver_function_test(if_hepatomegaly);bone_marrow_culture(if_persistent_fever_negative_blood_culture),chest_xray(if_no_respiratory_symptoms);mri_brain,8,moph_thailand_general,S. paratyphi B; milder than typhoid but similar enteric fever protocol
A01.3,paratyphoid_fever_c,blood_culture;stool_culture;cbc,widal_test(convalescent_titer);abdominal_ultrasound(if_gallbladder_involvement);crp(inflammatory_marker),ct_chest;thyroid_function,6,general_infectious_diseases,Rare; indistinguishable clinically from other paratyphoid types
A69.1,vincents_angina,oral_swab_gram_stain;cbc,throat_culture(exclude_strep_group_A);hiv_screening(if_recurrent_or_atypical);hsv_pcr(if_vesicles_present),ct_neck(unless_deep_space_infection);blood_culture(unless_septic),5,general,Fusobacterium and spirochetes; usually clinical diagnosis confirmed by stain
A04.4,ehec_enteritis,stool_culture_sorbitol_macconkey;stool_shiga_toxin_eia;cbc,renal_function_test(if_hus_risk);peripheral_blood_smear(if_thrombocytopenia);platelet_count(monitoring),antibiotic_susceptibility(antibiotics_contraindicated);colonoscopy,6,cdc_who_guidelines,Risk of HUS; avoid antibiotics; E. coli O157:H7 screening
A05.0,staphylococcal_food_poisoning,clinical_history_clustering;stool_culture,vomitus_culture(if_available);food_sample_toxin_assay(outbreak_investigation);electrolytes(if_severe_vomiting),blood_culture;ct_abdomen;antibiotics(usually_self_limiting),5,moph_thailand_epidemiology,Preformed toxin; rapid onset; focus on rehydration
A08.0,rotaviral_enteritis,stool_antigen_rotavirus;electrolytes,stool_culture(exclude_bacterial);blood_sugar(if_hypoglycemia_infant);bun_creatinine(dehydration_status),ct_abdomen;colonoscopy;lumbar_puncture,5,moph_thailand_pediatrics,Major cause of pediatric diarrhea; rapid antigen test widely available
A28.2,extraintestinal_yersiniosis,blood_culture;stool_culture,serology_yersinia(if_culture_negative);abdominal_ultrasound(if_mesenteric_adenitis);joint_aspiration(if_reactive_arthritis),mri_spine;bone_scan,6,general_infectious_diseases,Y. enterocolitica mimicry of appendicitis; cold enrichment for culture
A32.8,other_listeriosis,blood_culture;tissue_culture,csf_analysis(if_cns_signs);placental_swab(if_pregnancy_related);mri_brain(if_rhombencephalitis_suspected),stool_culture(low_yield_unless_outbreak);serology(unreliable),6,moph_thailand_general,"Includes endocarditis, abscesses; Listeria monocytogenes requires specific coverage"
A17.8,tb_nervous_system_other,csf_analysis;csf_acid_fast_stain;csf_tb_pcr;csf_culture_mycobacteria,mri_brain_spine(localize_tuberculoma);hiv_test;chest_xray(primary_focus);ada_csf(adenosine_deaminase),eeg(unless_seizures);angiography,8,moph_thailand_tb_guidelines,Includes tuberculoma of brain/cord; high index of suspicion in Thailand
A18.1,tb_genitourinary,urine_afb_culture_3_days;chest_xray,ivp_or_ct_urogram(assess_strictures);biopsy_bladder_kidney(histopathology);pcr_tb_urine;hiv_test,PSA;urine_cytology(unless_cancer_rule_out),6,moph_thailand_tb_guidelines,Sterile pyuria is a hallmark; early morning urine samples preferred
A18.3,tb_intestine_peritoneum,peritoneal_fluid_analysis;ascitic_fluid_ada;chest_xray,colonoscopy_biopsy(ulcers);laparoscopy_biopsy(peritoneal_studding);ct_abdomen(omental_caking);sputum_afb(concomitant_pulmonary),tumor_markers(unless_cancer_mimic);amylase(unless_pancreatitis_rule_out),7,moph_thailand_gi,Can mimic carcinomatosis; biopsy is gold standard
A18.4,tb_skin,skin_biopsy_histopathology;tissue_afb_culture;chest_xray,pcr_tb_tissue;mantoux_or_igra;hiv_test;fna_lymph_node(if_scrofuloderma),blood_culture;bone_scan,6,dermatology_infectious,"Lupus vulgaris, scrofuloderma; culture required for sensitivity"
A20.7,septicemic_plague,blood_culture;blood_smear_wayson_stain;cbc,plague_rapid_dipstick(if_available);sputum_culture(if_pneumonic_signs);lymph_node_aspirate(if_bubo_present),colonoscopy;echocardiogram,6,who_guidelines,Yersinia pestis; Safety pin appearance on stain; BSL-3 precautions
A21.1,oculoglandular_tularemia,conjunctival_swab_pcr;serology_francisella,culture_cysteine_heart_agar(with_warning_lab);lymph_node_aspirate;blood_culture(if_systemic),orbital_ct(unless_abscess_suspected);ophthalmic_ultrasound,5,general_infectious_diseases,History of animal contact/vector; Laboratory hazard warning essential
A22.7,anthrax_sepsis,blood_culture;blood_gram_stain;pcr_anthrax,csf_analysis(if_meningeal_signs);pleural_fluid_culture(if_effusion);skin_lesion_swab(if_eschar_present),biopsy_skin_lesion(risk_of_dissemination);bronchoscopy(risk_of_aerosol),6,who_guidelines,Bacillus anthracis; wide mediastinum on CXR; critical alert
A23.2,brucellosis_suis,blood_culture_prolonged;serology_brucella_tube_agglutination;cbc,bone_marrow_culture(gold_standard);pcr_brucella;spine_xray(spondylitis);abdominal_ultrasound(hepatosplenomegaly),sputum_culture;stool_culture,7,zoonotic_diseases,Swine exposure; prolonged incubation of cultures required
A24.0,glanders,blood_culture;exudate_culture;pcr_burkholderia_mallei,chest_xray(pulmonary_nodules);ct_viscera(abscesses);serology_complement_fixation,mantoux_test;viral_load,6,tropical_medicine,Horse/donkey exposure; distinct from Melioidosis (B. pseudomallei)
A28.0,pasteurellosis,wound_culture;blood_culture;cbc,xray_affected_limb(rule_out_osteomyelitis);joint_fluid_analysis(septic_arthritis);gram_stain(bipolar_rods),viral_pcr;fungal_culture(unless_atypical),6,general_trauma_infectious,Animal bite (cat/dog); rapid onset cellulitis
A30.3,borderline_leprosy,slit_skin_smear;skin_biopsy_fite_stain,pcr_m_leprae;sensory_testing_monofilament;nerve_conduction_study(if_neuropathy),culture_m_leprae(cannot_culture_in_vitro);blood_culture,5,moph_thailand_dermatology,Immunologically unstable; risk of type 1 reaction
A31.8,other_mycobacterial_infections,tissue_culture_mycobacteria;histopathology;identification_molecular_probes,drug_susceptibility_testing;chest_xray(if_dissemination_risk);hiv_test,routine_bacterial_culture(may_miss_slow_growers);tzanck_smear,6,general_infectious_diseases,"NTM infections (e.g. M. marinum, M. chelonae); specific incubation temps"
A32.0,cutaneous_listeriosis,skin_lesion_culture;blood_culture,skin_biopsy(if_diagnostic_uncertainty);gram_stain(gram_positive_rods),ct_brain(unless_symptoms);lumbar_puncture(unless_symptoms),4,dermatology_infectious,"Rare manifestation; occupational exposure (vets, farmers)"
A33,tetanus_neonatorum,clinical_diagnosis_spatula_test;umbilical_swab_culture_c_tetani,serum_antibody_level(retrospective_maternal_immunity);skull_ultrasound(exclude_hemorrhage),csf_analysis(unless_sepsis_rule_out);eeg(non_specific);blood_culture(tetanus_not_bacteremic),5,who_guidelines,Strictly clinical; culture from umbilicus supports but not sensitive
A36.2,laryngeal_diphtheria,throat_swab_culture_loeffler_tellurite;elek_toxigenicity_test,pcr_tox_gene;neck_xray_lateral(exclude_epiglottitis);ecg(myocarditis_check),biopsy_pseudomembrane(bleeding_risk);ct_chest,6,moph_thailand_pediatrics,Medical emergency; airway protection priority; notify CDC/MoPH
A39.4,meningococcemia_unspecified,blood_culture;cbc;coagulation_panel,csf_gram_stain_culture(if_meningitis_signs_stable);skin_lesion_scraping_stain;pcr_n_meningitidis,ct_brain(delay_treatment);urinalysis,6,emergency_medicine,N. meningitidis; rapid deterioration; empiric antibiotics immediately
A68.1,tick_borne_relapsing_fever,blood_smear_darkfield_giemsa;cbc,pcr_borrelia;serology(less_reliable);liver_function_test,blood_culture(special_media_required);csf_analysis(unless_cns_signs),5,tropical_medicine,Borrelia sp.; spirochetes visible on smear during febrile spike
A42.7,actinomycosis_sepsis,blood_culture_anaerobic;tissue_biopsy_sulphur_granules,ct_chest_abdomen(source_control);gram_stain_pus(branching_gpr);echocardiogram(endocarditis),fungal_culture(actinomyces_is_bacteria);viral_serology,6,general_infectious_diseases,Endogenous infection; prolonged high dose penicillin required
A43.1,cutaneous_nocardiosis,wound_culture_prolonged;gram_stain_modified_afb,biopsy_skin;brain_imaging(if_dissemination_risk_immunocompromised);chest_xray(pulmonary_primary),anaerobic_culture(nocardia_is_aerobic);viral_pcr,5,dermatology_infectious,Nocardia spp.; partial acid fast; look for dissemination in brain
A44.1,cutaneous_bartonellosis,skin_biopsy_warthin_starry;serology_bartonella,pcr_tissue_blood;blood_culture(prolonged_lysis_centrifugation);liver_spleen_ultrasound(hepatosplenic_disease),standard_blood_culture(low_yield);fungal_stain,6,infectious_diseases,Verruga peruana or Bacillary angiomatosis; cat scratch/sandfly history
A48.2,non_pneumonic_legionnaires,urine_antigen_legionella;serology_paired_sera,pcr_legionella;sputum_culture_bcye(if_symptoms_change);cbc(hyponatremia_check),chest_xray(by_definition_non_pneumonic_pontiac_fever);blood_culture,5,general,Pontiac fever; self-limiting flu-like illness; negative CXR
A52.3,neurosyphilis,csf_vdrl;csf_protein_glucose;csf_cell_count;serum_tpha_rpr,csf_fta_abs(if_vdrl_negative_high_suspicion);mri_brain(gumma_infarcts);hiv_test,csf_culture(t_pallidum_not_culturable);eeg(unless_seizures),7,moph_thailand_stis,Any stage of syphilis with neuro signs; CSF VDRL specific but insensitive
A54.4,gonococcal_musculoskeletal,synovial_fluid_culture;urethral_cervical_swab_pcr;blood_culture,synovial_fluid_gram_stain;pharyngeal_rectal_swab_naat;hiv_syphilis_screen,bone_biopsy;rheumatoid_factor,7,moph_thailand_stis,"Disseminated gonococcal infection (DGI); triad of tenosynovitis, dermatitis, polyarthralgia"
A63.0,anogenital_warts,clinical_inspection;acetowhitening_test,biopsy(if_atypical_pigmented_ulcerated);hpv_dna_typing(cervical_screening_co_test);anal_pap_smear,viral_culture(hpv_no_culture);blood_test_hpv,5,moph_thailand_dermatology,Condyloma acuminata; HPV types 6/11; screen for other STIs
A66.0,yaws_initial_lesions,darkfield_microscopy_lesion;serology_rpr_tpha,pcr_treponema_pallidum_subspecies;skin_biopsy,culture(not_culturable);csf_analysis(non_neurological),4,tropical_medicine,T. pallidum pertenue; mother yaw; serologically indistinguishable from syphilis
A69.0,necrotizing_ulcerative_stomatitis,clinical_exam;oral_swab_gram_stain_fusospirochetes,hiv_screening;cbc(neutropenia);blood_culture(if_systemic_signs),biopsy(usually_clinical);ct_head,5,dental_infectious,Cancrum oris / Noma precursor; severely malnourished or immunocompromised
A75.0,epidemic_louse_borne_typhus,serology_ifa_r_prowazekii;pcr_blood_tissue,weil_felix_test(if_serology_unavailable);skin_biopsy_immunohistochemistry;cbc(thrombocytopenia),blood_culture(requires_cell_culture);stool_analysis,6,tropical_medicine,R. prowazekii; vector body louse; Brill-Zinsser is recrudescence
A77.1,spotted_fever_r_conorii,serology_ifa_paired;pcr_eschar_blood,weil_felix(limited_utility);cbc;liver_function_test,blood_culture;chest_ct,5,tropical_medicine,Mediterranean spotted fever; Tache noire (eschar) common
A79.8,other_specified_rickettsioses,serology_rickettsia_panel;pcr_blood_eschar,cbc;liver_function_test;skin_biopsy,viral_culture;sputum_culture,5,moph_thailand_general,"Includes R. helvetica, etc.; empirical Doxycycline often used before dx"
A85.0,enteroviral_encephalitis,csf_pcr_enterovirus;csf_analysis;throat_rectal_swab_pcr,mri_brain;stool_viral_culture;serology_neutralization,bacterial_antigen_panel(unless_cloudy_csf);brain_biopsy,7,neurology_infectious,Coxsackie/Echovirus; common cause of aseptic meningitis/encephalitis
A92.4,rift_valley_fever,pcr_rvf_blood;serology_igm_elisa,liver_function_test(hepatitis);coagulation_profile(hemorrhage);fundoscopy(retinitis),blood_culture_bacterial;antibiotics,6,who_guidelines,Zoonotic (livestock); ocular complications; hemorrhagic risk
A95.1,sylvatic_yellow_fever,pcr_yellow_fever;serology_igm;liver_function_test,coagulation_profile;renal_function;plaque_reduction_neutralization_test(confirmation),liver_biopsy(bleeding_risk);antibiotics,7,travel_medicine,Monkey-mosquito-human cycle; differentiate from Dengue/Lepto
A96.2,lassa_fever,pcr_lassa_virus;antigen_detection,serology_igm_igg;liver_function_test;urinalysis(proteinuria),routine_culture(bsl4_pathogen);lumbar_puncture(bleeding_risk),6,who_guidelines,Viral hemorrhagic fever; hearing loss common sequela; Ribavirin utility
A98.0,crimean_congo_hemorrhagic_fever,pcr_cchf;cbc;coagulation_panel,serology_igm_igg;liver_function_test;d_dimer,aspirin_nsaids;im_injections,7,who_guidelines,Tick-borne (Hyalomma); nosocomial spread via blood; high mortality
B08.2,exanthema_subitum,clinical_diagnosis;cbc,pcr_hhv6(if_immunocompromised_or_encephalitis);urinalysis(exclude_uti_fever),serology_routine;skin_biopsy;blood_culture(unless_sepsis_suspicion),4,pediatrics_general,Roseola infantum; HHV-6; high fever followed by rash upon defervescence
B08.3,erythema_infectiosum,clinical_diagnosis_slapped_cheek;reticulocyte_count(if_anemia),parvovirus_b19_igm_pcr(pregnancy_or_aplastic_crisis);fetal_ultrasound(if_maternal_infection),throat_culture;skin_scraping,5,pediatrics_general,Fifth disease; Parvovirus B19; risk of aplastic crisis in hemolytic anemias
B25.2,cytomegaloviral_pancreatitis,serum_amylase_lipase;cmv_viral_load_pcr;ct_abdomen,biopsy_pancreas(rarely_needed);hiv_cd4_count;fundoscopy(associated_retinitis),ercp(unless_obstruction);bacterial_culture,6,hiv_opportunistic_guidelines,Mostly in AIDS/Transplant; exclude drug-induced pancreatitis
B26.2,mumps_orchitis,clinical_exam;mumps_igm_serology;buccal_swab_pcr,scrotal_ultrasound(exclude_torsion);urine_amylase;semen_analysis(fertility_followup),testicular_biopsy;ct_pelvis,6,urology_infectious,Post-pubertal males; sterility risk; supportive care
B30.0,adenoviral_keratoconjunctivitis,clinical_slit_lamp_exam;conjunctival_swab_pcr_adenovirus,rapid_adenovirus_antigen;bacterial_culture(exclude_secondary),orbital_ct;blood_culture,4,ophthalmology_general,Epidemic Keratoconjunctivitis (EKC); highly contagious; corneal subepithelial infiltrates
B33.1,ross_river_disease,serology_rrv_igm_igg_paired;cbc,pcr_blood(viremic_phase_short);esr_crp(joint_inflammation),joint_aspiration(unless_septic_arthritis_doubt);autoimmune_panel,5,travel_medicine,Polyarthritis rash; mosquito vector; symptomatic treatment
B53.0,plasmodium_ovale_malaria,blood_smear_thick_thin;malaria_rapid_test_p_v_o,pcr_malaria_speciation;g6pd_status(before_primaquine),ct_brain;lumbar_puncture,5,moph_thailand_malaria,Requires radical cure (Primaquine/Tafenoquine) for hypnozoites; fimbriated RBCs
E78.3,hyperchylomicronemia,lipid_panel;fasting_blood_glucose;liver_function_test,lipoprotein_electrophoresis(if_diagnosis_unclear);amylase_lipase(if_abdominal_pain);genetic_testing_LPL(if_familial_suspected),thyroid_scan;coronary_calcium_score(if_young_asymptomatic),6,moph_thailand_lipid,Risk of acute pancreatitis; milky plasma appearance
E78.4,mixed_hyperlipidemia,lipid_panel;fasting_blood_glucose;hb_a1c;TSH,liver_function_test(before_statin_fibrate);creatine_kinase(if_myalgia);urinalysis(proteinuria_check),genetic_testing_routine;ct_coronary,7,moph_thailand_lipid,Common combined elevation of cholesterol and triglycerides
E78.5,hyperlipidemia_unspecified,lipid_panel;fasting_blood_glucose;TSH,hb_a1c(if_glucose_borderline);liver_function_test(if_medication_planned);creatinine(if_ckd_risk),lipoprotein_electrophoresis;apolipoprotein_b_routine,6,moph_thailand_general,General code for elevated lipids; exclude secondary causes like hypothyroidism
E78.6,lipoprotein_deficiency,lipid_panel;cbc;liver_function_test,vitamin_a_e_levels(if_malabsorption_signs);ophthalmology_exam(if_retinitis_pigmentosa_suspected);stool_fat(if_steatorrhea),thyroid_ultrasound;routine_ecg,6,moph_thailand_endocrine,Includes abetalipoproteinemia; monitor fat-soluble vitamins
E78.8,other_lipoprotein_disorders,lipid_panel;fasting_blood_glucose;liver_function_test,uric_acid(if_metabolic_syndrome);hb_a1c(if_diabetes_risk);ultrasound_liver(if_fatty_liver_suspected),mri_abdomen;tumor_markers,6,moph_thailand_lipid,Specific metabolic lipid issues not covered by other codes
E78.9,lipoprotein_metabolism_disorder_unspecified,lipid_panel;TSH;fasting_blood_glucose,creatinine(if_renal_etiology);urinalysis(nephrotic_screen);liver_function_test(hepatic_screen),biopsy_liver_routine;genetic_panel,6,moph_thailand_general,Screening diagnosis often requiring refinement
E08.0,diabetes_underlying_condition_kidney,hb_a1c;fasting_blood_glucose;creatinine;eGFR;urine_microalbumin,electrolyte_panel(if_ckd_advanced);lipid_panel(cardiovascular_risk);renal_ultrasound(if_structural_doubt),c_peptide_routine;islet_cell_antibodies,8,moph_thailand_diabetes,"Secondary diabetes (e.g., pancreatic disease) with nephropathy"
E08.1,diabetes_underlying_condition_ketoacidosis,blood_glucose;serum_ketones;venous_blood_gas;electrolyte_panel,bun_creatinine(dehydration_check);phosphate_magnesium(if_severe);chest_xray(if_infection_trigger),ct_brain(unless_altered_consciousness_severe);thyroid_scan,7,moph_thailand_diabetes,DKA in secondary diabetes context; treat underlying cause + insulin
E08.9,diabetes_underlying_condition_no_complication,hb_a1c;fasting_blood_glucose,amylase_lipase(if_pancreatic_etiology);iron_studies(if_hemochromatosis_suspected);ct_abdomen(if_pancreatic_pathology_check),antibody_panel_type_1_dm;genetic_testing_modiy,5,moph_thailand_diabetes,Secondary diabetes without current complications
E09.0,drug_induced_diabetes_kidney,hb_a1c;fasting_blood_glucose;creatinine;urine_protein_creatinine_ratio,electrolyte_panel(if_diuretic_use);magnesium(if_drug_effect);drug_level_monitoring(if_applicable),renal_biopsy_routine;autoantibodies_dm,7,moph_thailand_diabetes,Steroid or medication induced DM with renal impact
E09.1,drug_induced_diabetes_ketoacidosis,blood_glucose;serum_ketones;blood_gas;electrolytes,lactate(if_metformin_associated);ecg(if_hyperkalemia_risk);calcium(if_pancreatitis_drug),mri_pancreas;thyroid_uptake,7,moph_thailand_diabetes,Critical care pathway for drug-induced DKA
E09.9,drug_induced_diabetes_uncomplicated,fasting_blood_glucose;hb_a1c,cortisol_am(if_steroid_induced);lipid_panel(metabolic_check);liver_function_test(drug_toxicity),c_peptide_routine;gad65_antibodies,5,moph_thailand_diabetes,Monitor reversibility upon drug cessation
E16.0,drug_induced_hypoglycemia,blood_glucose;electrolyte_panel;creatinine,sulfonylurea_screen(if_surreptitious_suspected);c_peptide(to_exclude_insulinoma);insulin_level(during_hypoglycemia),ct_pancreas_routine;mri_brain,6,moph_thailand_endocrine,Common in sulfonylurea/insulin overdose or interaction
E16.1,other_hypoglycemia,blood_glucose;insulin_level;c_peptide;cortisol_am,proinsulin(if_insulinoma_workup);beta_hydroxybutyrate(fasting_test);igf_1(if_nicth_suspected),routine_eeg;thyroid_ultrasound,7,moph_thailand_endocrine,Non-diabetic hypoglycemia workup; 72-hour fast protocol may apply
E16.3,increased_glucagon_secretion,glucagon_level;fasting_blood_glucose;ct_abdomen,amino_acid_profile(if_necrolytic_erythema);hb_a1c(if_secondary_dm);octreoscan(localization),thyroid_antibody;bone_marrow_biopsy,6,moph_thailand_endocrine,"Glucagonoma suspicion; 4Ds (Diabetes, Dermatitis, DVT, Depression)"
E16.4,abnormal_gastrin_secretion,serum_gastrin;gastric_ph_monitoring;calcium,secretin_stimulation_test(if_borderline);ct_abdomen(tumor_localization);parathyroid_hormone(if_men1_suspected),colonoscopy_routine;lipid_panel_routine,6,moph_thailand_gastro_endocrine,Zollinger-Ellison syndrome; screen for MEN1
E16.8,other_pancreatic_internal_secretion_disorder,blood_glucose;chromogranin_a;pancreatic_polypeptide,vip_level(if_watery_diarrhea);somatostatin_level(if_steatorrhea_stones);ct_pancreas(structural),routine_skeletal_survey;thyroid_scan,6,moph_thailand_endocrine,"Rare neuroendocrine tumors (VIPoma, Somatostatinoma)"
E12.0,malnutrition_related_diabetes_coma,blood_glucose;electrolytes;albumin;cbc,blood_gas(if_acidosis);chest_xray(infection_screen);calcium_magnesium_phosphate(refeeding_risk),c_peptide(usually_low_anyway);autoantibodies_dm,7,who_guidelines,Fibrocalculous pancreatic diabetes or protein-deficient DM presenting in coma
E12.1,malnutrition_related_diabetes_ketoacidosis,blood_glucose;serum_ketones;blood_gas;albumin,amylase(if_pancreatic_calcification);abdominal_xray(calcification_check);electrolyte_panel(severe_imbalance),ct_head;thrombophilia_screen,7,who_guidelines,Ketosis prone malnutrition diabetes; distinct from Type 1
